"State", "Turnout,% of Voting-age Citizens", "18-24 Turnout Gap, Citizens, 2018", "Minority Turnout Gap, Citizens, 2018", "Contribution Limits per 4 Years, 3rd Party Ballot Access", "Nonpartisan or Bipartisan Redistricting, to Avoid Gerrymanders", "Good VBM List Tracks Address Changes & Deaths", Vote by Mail with No Specific Reason?, Mail Application or Ballot to All?, "Process Ballots on Receipt before Election Day?", "Number of Days when Voters Can Cure Signature Problems after Election Day", "VBM Ballots Counted as % of VBM Received, 2018", "Do Votes Have a Paper Trail?", "Hand Tally Audits, to Check Computer Tallies?", "Good Audit Sample to Check Computer Tallies?", "Audit All Contests? Number of Contests Checked", "Public Can Recount with Copies of Ballots",
Arizona  41 C,,2.7,2.7,2.3,3.4,,5,5,5,1,5,1,2,3,1,1,1,1,C
Idaho  41 C,,3.1,2.4,1.9,4.8,,5,1,5,1,5,1,5,3,1,1,1,5,C
Maine  41 C,,4.4,1.0,1.4,4.9,,1,5,5,1,5,1,5,3,1,1,1,1,C
Nebraska  40 C,,3.4,3.4,1.5,1.0,,1,1,5,5,5,1,3,3,1,3,2.4,2,C
Texas  39 C,,1.9,3.1,2.1,1.0,,1,5,1,1,5,1,5,1,5,3,3,1,C
Tennessee  39 C,,1.8,3.5,3.6,4.6,,1,1,1,1,5,1,5,1,4,3,2,3,C
South Carolina  35 C,,2.5,2.6,5.0,4.8,,1,5,4,1,1,1,1,3,1,1,1,5,C
Oklahoma  34 C,,1.0,2.3,3.1,4.8,,1,1,5,1,5,1,1,5,1,1,1,2,C
South Dakota  34 C,,2.8,2.5,2.0,4.7,,1,1,5,1,5,1,2,3,1,1,1,5,C
Alabama  34 C,,2.3,3.2,4.1,1.0,,1,5,4,1,1,1,1,3,1,1,1,3,C
Louisiana  33 C,,2.5,2.6,4.3,4.4,,1,5,1,1,1,1,5,1,1,1,1,5,C
Indiana  31 C,,2.0,3.5,3.7,1.0,,1,1,1,1,1,1,5,1,1,3,5,2,C
New Hampshire  31 C,,4.3,3.4,3.2,3.9,,1,1,4,1,1,1,1,3,1,1,1,1,C
Wyoming  28 C,,2.5,1.7,1.7,4.7,,1,1,5,1,1,1,1,3,1,1,1,5,C
North Dakota 27 C,,2.5,2.5,1.6,1.0,,1,1,5,1,1,1,3,3,1,1,1,2,C
Mississippi  25 C,,1.8,2.2,5.0,1.0,,1,1,4,1,1,1,2,1,1,1,1,5,C
