Wisconsin ,B Wisconsin ,03%bmd,0.758,No,Yes,Yes,Yes,Application,No,No cure,No signature checks,"Hand count, except early&absentee ballots ",0.01,4, 	39.9 
Connecticut ,B Connecticut ,47%bmd,0.715,No,No known decision,Yes,2020,Application,Yes,No cure,No signature checks,Machines or by hand ,0.05,3, 	39.0 
North Carolina ,B North Carolina ,79%bmd,0.715,No,No ballots or images,No,Yes,Neither,Yes,8,No signature checks,Hand count,Statistical,1, 	38.6 
New York ,B New York ,40%bmd,0.634,No,No ballots or images,No,2020,?,Yes,No cure,90.82,Different machine,0.03,All, 	38.3 
Vermont ,B Vermont ,53%bmd,0.742,"No, 1CD",After 3 months,Yes,Yes,Ballot in 2020,No,No cure,No signature checks,Different machine,?,All, 	38.1 
Virginia ,B Virginia ,39%bmd,0.73,No,No ballots,Yes,Yes,Neither,Yes,No cure,No signature checks,"Hand count, except early&absentee ballots ",Statistical,1, 	37.9 
Pennsylvania ,B Pennsylvania ,31%bmd,0.71,Local only,No ballots or images,Yes,Yes,Neither,No,No cure,No signature checks,Hand count,0.02,All, 	37.6 
West Virginia ,B West Virginia ,87%bmd,0.576,No,No ballots,Yes,2020,Neither,No,No cure,98.99,Hand count,0.03,All, 	37.4 
Idaho ,B Idaho ,48%bmd,0.68,Yes,Yes after recount,No,Yes,Neither,Yes,No cure,95.64,No audit,,0, 	37.1 
Kansas ,B Kansas ,60%bmd,0.659,No,Yes after certification,Yes,Yes,Neither,Yes,No cure,98.78,No audit,,0, 	36.7 
Kentucky ,B Kentucky ,"57%dre,05%bmd",0.649,No,No ballots,No,2020,Neither,Yes,No cure,92.78,Hand count,0.03,All, 	36.6 
Nebraska ,C Nebraska ,64%bmd,0.699,No,No ballots,No,Yes,Application,Yes,No cure,99.1,Not required,0.02,3, 	35.8 
Alaska ,C Alaska ,53%bmd,0.688,"Officials, 1CD",No ballots or images,Yes,Yes,Neither,Yes,No cure,No signature checks,"Hand count, except small precincts ",0.05,All, 	35.2 
Maine ,C Maine ,34%bmd,0.763,No,No ballots or images,Yes,Yes,Neither,Yes,No cure,98.86,No audit,,0, 	34.4 
Texas ,C Texas ,"30%dre,60%bmd",0.604,No,After 22 months,Yes,No,Neither,Yes,No cure,98.92,Hand count,0.01,6, 	33.9 
Arizona ,C Arizona ,80%bmd,0.659,Yes,No ballots or images,Yes,Yes,Neither,Yes,No cure,76.35,No audit,,0, 	33.7 
Delaware ,C Delaware ,60bmd,0.707,"No, 1CD",No ballots,Yes,2020,Application,Yes,No cure,No signature checks,No audit,,0, 	33.5 
Tennessee ,C Tennessee ,"86%dre,08%bmd",0.598,No,No known decision,No,No,Neither,Yes,No cure,97.84,Different machine,0.01,1, 	29.8 
South Dakota ,C South Dakota ,76%bmd,0.66,"No, 1CD",Yes,No,Yes,Neither,Yes,No cure,36.71,No audit,,0, 	29.8 
South Carolina ,C South Carolina ,60%bmd,0.645,No,Yes,Yes,2020,Neither,No,No cure,No signature checks,No audit,,0, 	27.5 
Louisiana ,C Louisiana ,"96%dre,00%bmd",0.646,No,Yes,Yes,No,Neither,No,No cure,94.09,No audit,,0, 	26.5 
Oklahoma ,C Oklahoma ,00%bmd,0.55,No,No ballots,No,Yes,Neither,Yes,No cure,No signature checks,No audit,,0, 	26.0 
Alabama ,C Alabama ,42%bmd,0.631,No,No known decision,Yes,2020,Neither,No,No cure,No signature checks,No audit,,0, 	25.3 
Indiana ,C Indiana ,"53%dre,10%bmd",0.614,No,No ballots,No,No,Neither,No,No cure,98.4,Not required,0.05,All, 	25.0 
Wyoming ,C Wyoming ,34%bmd,0.646,"No, 1CD",Yes,No,Yes,Neither,No,No cure,No signature checks,No audit,,0, 	24.5 
North Dakota,C North Dakota,30%bmd,0.645,"No, 1CD",No ballots,No,Yes,Neither,No,No cure,99.41,No audit,,0, 	23.5 
Mississippi ,C Mississippi ,"85%dre,06%bmd",0.602,No,Yes after canvass,No,2020,Neither,No,No cure,28.07,No audit,,0, 	21.8 
New Hampshire ,C New Hampshire ,50%bmd,0.755,No,No ballots or images,No,2020,Neither,No,No cure,No signature checks,No audit,,0, 	21.3 
,,,,,,,,,,,,,,,
,Sources:,https://www.eac.gov/sites/default/files/eac_assets/1/6/2018_EAVS_Report.pdf,http://www.electproject.org/2020g,https://en.wikipedia.org/wiki/Redistricting_commission,https://commons.wikimedia.org/wiki/File:Ballot-foia.png,www.voteathome.org/policy-star-rankings,https://www.ncsl.org/research/elections-and-campaigns/absentee-and-mail-voting-policies-in-effect-for-the-2020-election.aspx,https://www.ncsl.org/research/elections-and-campaigns/absentee-and-mail-voting-policies-in-effect-for-the-2020-election.aspx,https://www.ncsl.org/research/elections-and-campaigns/absentee-and-mail-voting-policies-in-effect-for-the-2020-election.aspx,https://www.ncsl.org/research/elections-and-campaigns/vopp-table-15-states-that-permit-voters-to-correct-signature-discrepancies.aspx,https://www.eac.gov/sites/default/files/eac_assets/1/6/2018_EAVS_Report.pdf,http://www.votewell.net/audits.html,,http://www.votewell.net/audits.html,
,,https://verifiedvoting.org/verifier/,,,https://www.rcfp.org/open-government-sections/i-election-records/,,,,,,https://www.nytimes.com/interactive/2020/10/07/upshot/mail-voting-ballots-signature-matching.html,https://verifiedvoting.org/auditlaws/,,https://verifiedvoting.org/auditlaws/,
,,,,,https://web.archive.org/web/20130217200102/http://www.nass.org/index.php?option=com_docman&task=doc_download&gid=95,,,,,,,,,,
,"Sources: Election Assistance Commission, Verified Voting, Reporters' Committee for Freedom of the Press, National Council of Secretaries of State, National Conference of State Legislators, National Vote at Home Institute",,,,,,,,,,,,,,
